	vMAG_19	vMAG_72	vMAG_37	vMAG_14	vMAG_6	vMAG_50	vMAG_51	vMAG_88	vMAG_76	vMAG_35	vMAG_101	vMAG_103	vMAG_5	vMAG_25	vMAG_82	vMAG_97	vMAG_45	vMAG_92	vMAG_8	vMAG_93	vMAG_18	vMAG_70	vMAG_83	vMAG_20	vMAG_12	vMAG_74	vMAG_32	vMAG_65	vMAG_61	vMAG_41	vMAG_86	vMAG_85	vMAG_69	vMAG_30	vMAG_13	vMAG_28	vMAG_63	vMAG_1	vMAG_89	vMAG_78	vMAG_15	vMAG_47	vMAG_29	vMAG_94	vMAG_54	vMAG_36	vMAG_4	vMAG_48	vMAG_66	vMAG_10	vMAG_75	vMAG_90	vMAG_57	vMAG_62	vMAG_31	vMAG_11	vMAG_79	vMAG_27	vMAG_49	vMAG_102	vMAG_42	vMAG_21	vMAG_104	vMAG_52	vMAG_43	vMAG_26	vMAG_23	vMAG_80	vMAG_67	vMAG_3	vMAG_39	vMAG_24	vMAG_34	vMAG_53	vMAG_95	vMAG_84	vMAG_71	vMAG_9	vMAG_100	vMAG_64	vMAG_2	vMAG_73	vMAG_59	vMAG_60	vMAG_7	vMAG_40	vMAG_68	vMAG_87	vMAG_77	vMAG_55	vMAG_16	vMAG_22	vMAG_96	vMAG_33	vMAG_17	vMAG_44	vMAG_81	vMAG_38	vMAG_98	vMAG_46	vMAG_91	vMAG_58	vMAG_56	vMAG_99
bin_68	0.0	0.0	0.0	0.0	0.0	0.0	0.050063093736943606	0.03531222406497885	0.0	0.11773050982465852	0.0	0.0	0.03965508643163631	0.0	0.0	0.0	0.07969412426463557	0.08166519124190841	0.0	0.08122216475989083	0.0	0.0	0.0	0.0	0.0038438688866434165	0.0	0.07189419890988835	0.0	0.011673026815552058	0.0	0.0	0.0	0.12604956617889518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0489257273444422	0.03885025748325278	0.0	0.0	0.0	0.0	0.12171602149538473	0.0	0.0	0.0	0.0	0.0	0.0	0.02398441897564425	0.0	0.0	0.0623836136079225	0.0	0.0	0.0	0.03629801352837702	0.0	0.0	0.08344100470735798	0.0	0.0	0.0	0.0	0.0007449824897299231	0.0	0.020679475619659334	0.0	0.0	0.0	0.0	0.26431707736483356	0.0	0.0	0.0	0.0021881594649194942	0.0	0.0	0.005431573318563245	0.0	0.0	0.0	0.0	0.0	0.047586809571902866	0.0	0.0	0.0	0.0	0.003679692477306654	0.0	0.02572138612751292	0.0	0.0	0.0	0.0	0.0	0.023473844808753593	0.0
bin_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0027589399317269497	0.0	0.0	0.0	0.0	0.0	0.0004762969279869668	0.0	0.0	0.0	0.0012762739909391986	0.00067112839573967	0.0	0.0007460155341671892	0.23895347252613408	0.0	0.00035451899952301813	0.0	0.0	0.0	0.0	0.0	0.0007290640880366646	0.0	0.0	0.0	0.0005964164966479035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015531098140764152	0.0012732341316843542	0.0004044127826994649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0779035883806916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005011046222125296	0.0	0.0	0.0	0.0	0.0008142660674954944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5956728430315025	0.0	0.0005020264670960807	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_225	0.0	0.0	0.0	0.0	0.0	0.0	0.0030910121872708375	0.0	0.0	0.0	0.004052248907060401	0.0	0.003783887104097552	0.0	0.0	0.0	0.014623866997838584	0.0016405242080112389	0.0	0.00410305574913268	0.0	0.0	0.0	0.0	0.00036678184865607087	0.0	0.010026361685777245	0.0	0.001782143764454471	0.0	0.0	0.0	0.024419765416830223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007780818948929502	0.0035835206727054788	0.0	0.0	0.0	0.0	0.008557786598586194	0.0	0.0	0.002066229903573486	0.0	0.0	0.0	0.003269417866758568	0.0	0.0	0.0007440803068383393	0.0	0.0	0.0	0.001484380848392	0.0	0.0	0.002143598706645263	0.0	0.0	0.0	0.0	0.0	0.0	0.004439778559458171	0.0	0.0	0.0	0.0	0.004306046113406033	0.0	0.0	0.0009976917056993626	0.0	0.0	0.0	0.0005182805557744371	0.0	0.0	0.0	0.0	0.0	0.004086658689730039	0.0	0.0	0.0	0.0	0.0003511161408241794	0.0	0.0015339586611921323	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_148	0.0	0.0	0.0	0.0	0.0	0.0	0.012259614726032344	0.0	0.0	0.0	0.0	0.0	0.002539765407066886	0.0	0.0	0.0	0.015312364553995947	0.02147200936697896	0.0	0.03314991719591421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01749419823407784	0.0	0.0	0.0	0.02544224658836041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020367857607747914	0.009704054149741207	0.0	0.0	0.0	0.0	0.026668722151957487	0.0	0.0	0.0	0.0	0.0	0.0	0.0014263930743761263	0.0	0.0	0.00216419974382399	0.0	0.0	0.0	0.008634811652192159	0.0	0.0	0.008016143565289981	0.0	0.0	0.0	0.0	0.0	0.0	0.017217796757883555	0.0	0.0	0.0	0.0	0.03220554643629382	0.0	0.0	0.0	0.0	0.0	0.0	0.013567035334154038	0.0	0.0	0.0	0.0	0.0	0.011886278413939234	0.0	0.0	0.0	0.0030824189079520507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_17	0.0	0.0	0.0	0.0	0.0	0.0	0.3564541627169569	0.006938718799106667	0.0	0.0	0.0	0.0	0.011987807490689756	0.0	0.0	0.0	0.020879459652869855	0.23648066052267025	0.0	0.26537160576827873	0.0	0.0	0.0	0.0	0.0	0.0	0.004346750411021791	0.0	0.003669929164858262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006409147220712383	0.013232143629698975	0.0	0.0	0.0	0.0	0.1309126766363654	0.0	0.0	0.0	0.0	0.0	0.0	0.0013465279536523586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21440717259262057	0.0	0.0	0.0	0.0	0.0	0.0	0.06501502300110494	0.0	0.0	0.0	0.0	0.015201163451416063	0.0	0.0	0.0	0.0	0.00045850311509758383	0.0	0.014941971300036539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014549156536810095	0.0	0.0	0.06570401928627738	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_210	0.0	0.0	0.0	0.0	0.0	0.0	0.008113840520017087	0.0	0.0	0.0	0.0	0.00018465264615043377	0.0027153085750115584	0.0	0.0	0.0	0.007275876681187114	0.0034616354626238223	0.0	0.007695796646765989	0.0	0.0	0.0	0.0	0.00021724593059917844	0.0	0.008439123553767216	0.0	0.0030677468624215175	0.0	0.0	0.0	0.003562004339079985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017282254352050928	0.0035131522285972916	0.0	0.0	0.0	0.0	0.014663318063738776	0.0	0.0	0.0	0.0	0.0	0.0	0.0046475651698733396	0.0	0.0	0.0011018021972182843	0.0	0.0	0.0	0.000879202992062188	0.0	0.0	0.005305363335457275	0.0	0.0	0.0	0.0	0.0	0.0	0.0021914112079107597	0.0	0.0	0.0	0.0	0.009564312532138018	0.0	0.0	0.00029546781533753	0.0	0.0	0.0	0.003108162831367624	0.0	0.0	0.0	0.0	0.0	0.0032273860637493557	0.0	0.0	0.0	0.0	0.0	0.0	0.0020442781606094	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_69	0.0	0.0	0.0	0.0	0.0	0.0	0.0005443109190675358	0.0016317114610120494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7508261581333949	0.0007553878150822244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005440445629827944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019777842197069048	0.0	0.0	0.0	0.0	0.0	0.0003996233140647899	0.0	0.0	0.0	0.0	7.453549642168077e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_47	0.0	0.0	0.0	0.0	0.0	0.0	0.011270092831049678	0.016892495626026377	0.0	0.0	0.0	0.0020839146671853786	0.0	0.0	0.0	0.0	0.0	0.12748051684888825	0.0	0.16151355961742486	0.0	0.0	0.0	0.0	0.0036776238299325984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01862644734131193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01225809216091506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16580540198870103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010003588796038274	0.0	0.00027905950977947743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0466370354673942	0.0	0.0	0.0
bin_134	0.0	0.0	0.0	0.0	0.0	0.0	0.028435219196245823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002818716990548762	0.020751103881123965	0.0	0.024165002644980355	0.0	0.0	0.0	0.0	0.0	0.0	0.026699819083535213	0.0	0.017711932401749966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011611164584154796	0.0	0.0	0.0	0.0	0.08836574127109169	0.0	0.0	0.0	0.0	0.0	0.0	0.0011815740612073735	0.0	0.0	0.0035854945267348795	0.0	0.0	0.0	0.0	0.0	0.0	0.019920877655278318	0.0	0.0	0.0	0.0	0.0	0.0	0.017828274693104575	0.0	0.0	0.0	0.0	0.022231622182626632	0.0	0.0	0.0	0.0	0.0	0.0	0.0243499898732697	0.0	0.0	0.0	0.0	0.0	0.009846176702969825	0.0	0.0	0.0	0.0	0.0	0.0	0.008870010938435275	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_168	0.0	0.0	0.0	0.0	0.0	0.0	0.003960442802017093	0.0	0.0	0.0	0.0	0.0	0.00957210197194586	0.0	0.0	0.0	0.0018320841576470502	0.0057804062935274785	0.0	0.011422945239738224	0.0	0.0	0.0	0.0	0.0	0.0	0.004958316214586285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010966322740391242	0.0017415968458036515	0.0	0.0	0.0	0.0	0.0028717582361822524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016313270964239714	0.0	0.0	0.0	0.04416641482076588	0.0	0.0	0.008631994504600277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005779963428205743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002882624714178836	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_4	0.0	0.0	0.0	0.0	0.0	0.0	0.06861354130574866	0.0	0.00654713584513013	0.08754341779781445	0.0	0.0	0.16633798947164222	0.0	0.0	0.0	0.1428315083430448	0.16832696305302694	0.005075996984650654	0.2107942983597434	0.007002808048136042	0.0	0.0005627694344078895	0.0	0.0	0.0	0.1535259303379415	0.0	0.026618558259334516	0.0	0.0	0.0	0.08142149742322155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29913069105432977	0.060987308332879776	0.0	0.0	0.0	0.0065053526869959565	0.25087908252765	0.0	0.0	0.004293807582604583	0.0	0.0	0.0	0.01953314692029054	0.0	0.00019990703542507074	0.5347497585207869	0.0	0.0	0.0	1.0050896243962422	0.0	0.0	0.18931993748677106	0.0	0.0	0.0	0.0	0.00036930847943955684	0.0	0.015377084297925793	0.0	0.0	0.0	0.0	0.5400964038964094	0.0014780846149532992	0.0	0.0	0.0	0.0	0.0	0.028272105941292355	0.002249767948899187	0.0	0.0	0.0	0.0	0.06605228320748982	0.00806829964695728	0.0021278953234448277	0.0	0.0	0.0009120628016988363	0.0	0.036658562618579756	0.0	0.0	0.0	0.0	0.0	0.0	0.0026214913338382397
bin_126	0.0	0.0	0.0	0.0	0.0	0.0	0.0005700509601905191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019777737971962863	0.0	0.0	0.0009248484173474299	0.0	0.0	0.0	0.0	0.0	0.00020972849744063042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00986373119290015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017807233456035778	0.0	0.0	0.0	0.0	0.029471672344788955	0.0	0.0	0.0	0.0
bin_28	0.0	0.0	0.0	0.0	0.0	0.0	0.01412181973413022	0.0	0.0	0.07057013340176213	0.0	0.0	0.01097081047623162	0.0	0.0	0.0	0.017148322599693854	0.0	0.0	0.015274122892230565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002312633925109656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031050210715633506	0.0	0.0	0.0	0.0	0.046079452150708085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04232147264747502	0.0	0.0	0.059492480843165906	0.0	0.0017862324306763887	0.0	0.012395710808789746	0.0	0.0	0.0	0.0	0.023185930562257324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004438288349178518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005628285691018182	0.0
