mobile_cluster_name	mobile_cluster_length (bp)	mobile_cluster_read_count (reads)	mobile_cluster_read_depth (reads/kbp)	mobile_cluster_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
vMAG_273	36110	9437	261.34034893381335	7.466867112394667	bin_278	186443	5329	28.582462200243505	15	0.0009332826448780289	4	0.0005941367557812733	0.6366096691521798	0.26123946425899774	0.0022742993960217085	2.4368816976329155
vMAG_273	36110	9437	261.34034893381335	7.466867112394667	bin_166	938334	19610	20.89874181261683	227	0.0005185505639526338	4	0.00011805246229820932	0.22765853612877882	0.3572878778705628	0.00033041272769118973	0.6371851670020954
vMAG_3	22319	3850	172.49876786594382	4.259228836196144	bin_181	715766	6899	9.638624913728789	28	0.00010996715727918599	2	0.00012519419690338747	1.1384689756555486	0.4418917505680198	0.0002833141753437565	2.576352634309487
vMAG_3	22319	3850	172.49876786594382	8.518457672392287	bin_9	3218125	190885	59.31559526121577	5028	0.0009768361754809152	4	5.569065809485339e-05	0.05701125684400028	0.14361244517362512	0.00038778434576142954	0.39697991894138834
vMAG_250	32019	7700	240.48221368562417	163.64764748731272	bin_59	2134702	433311	202.98430413238006	3793	0.0016748818668529011	164	0.0023993788533203074	1.4325660220017393	0.8062083824007733	0.002976127395469767	1.7769177960365068
vMAG_139	18591	442	23.774944865795277	16.06415193634816	bin_5	3921459	180912	46.13384967176757	5605	0.0007319249778599813	25	0.00034291744489845015	0.46851447248197475	0.3482074886583528	0.000984807782910456	1.345503723332218
vMAG_139	18591	442	23.774944865795277	3.8553964647235586	bin_1	6628220	144560	21.809776983865955	701	3.196098254056662e-05	6	4.8691324085948804e-05	1.5234614275123464	0.17677376836891245	0.0002754442841560857	8.618141942491187
vMAG_216	21532	22374	1039.104588519413	1001.4207237293015	bin_70	2007605	1887312	940.0813407019807	245099	0.12205098555982688	5368	0.1241794887128208	1.0174394589542302	1.0652490166239414	0.11657320192266289	0.9551188905846328
vMAG_288	43463	2749	63.249200469364744	2.3425629803468424	bin_126	1354854	21641	15.972938781595655	269	0.00029655788437317617	2	3.39639191154441e-05	0.11452711563286345	0.14665823317660187	0.00023158549220039811	0.78091160074834
vMAG_288	43463	2749	63.249200469364744	2.3425629803468424	bin_25	2666493	36429	13.661764722427549	675	0.00019100644695170955	2	1.7257180749859796e-05	0.0903486820747091	0.17146854948403725	0.00010064341712686116	0.5269111002955096
vMAG_264	24681	2596	105.18212390097646	8.765176991748039	bin_145	1176500	56022	47.61750956226094	1375	0.0019942238942921076	2	6.887717276700593e-05	0.03453833492023991	0.1840746622896642	0.000374180628176947	0.18763220581597254
vMAG_24	90637	6047	66.71668303231571	47.783570279901795	bin_314	137751	8681	63.01950621048123	114	0.014329499434153898	106	0.008489958798419774	0.5924811845265322	0.7582346031133225	0.011197007843693598	0.7813956024874039
vMAG_182	49524	757	15.285518132622567	9.406472696998502	bin_102	1580785	27565	17.43753894425871	220	0.00017786598706371362	8	0.00010218836858843929	0.5745245073294101	0.5394380896907229	0.0001894348407006764	1.0650425290857812
vMAG_202	29948	3672	122.61252838252972	87.87231200747964	bin_247	254042	25361	99.82994937844923	512	0.023539579271649715	172	0.022607633251595944	0.9604094019991183	0.8802199395530201	0.02568407307732225	1.091101619996042
vMAG_137	44181	3677	83.22582105429936	67.91992292937074	bin_47	2359997	202304	85.72214286713076	2718	0.0009857402939404468	142	0.0013618878706268018	1.3815889225576081	0.7923264708238402	0.00171884686524577	1.743711681273337
vMAG_34	118709	34814	293.2717822574531	205.3443567651355	bin_59	2134702	433311	202.98430413238006	3793	0.0016748818668529011	759	0.002995165829367087	1.7882848269143878	1.01162677401508	0.0029607419517768113	1.7677318086558773
vMAG_290	14361	203	14.135505883991366	7.710275936722563	bin_126	1354854	21641	15.972938781595655	269	0.00029655788437317617	6	0.0003083713842729365	1.039835393096124	0.48270866383126065	0.0006388354039999853	2.1541676605572935
vMAG_145	23914	1141	47.712636949067495	3.8170109559253995	bin_155	1057277	22234	21.02949368992232	570	0.0010281984534212638	2	7.91022771852892e-05	0.07693288870653471	0.18150750618188086	0.00043580719524637297	0.4238551359382547
