mobile_cluster_name	mobile_cluster_length (bp)	mobile_cluster_read_count (reads)	mobile_cluster_read_depth (reads/kbp)	mobile_cluster_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
vMAG_48	12631	10651	843.242815295701	5.8733330418606045	bin_225	112769	77395	686.314501325719	1638	0.2840209429441692	14	0.009828801658902897	0.03460590461047435	0.008557786598586194	1.1485214717233874	4.04379148881692
vMAG_48	12631	10651	843.242815295701	2.097618943521644	bin_148	276894	21779	78.65464762688971	175	0.00463541417278625	5	0.001429613774679146	0.3084112274308027	0.026668722151957487	0.053606384532909175	11.564529626634744
vMAG_48	12631	10651	843.242815295701	10.90761850631255	bin_17	3184345	265319	83.31980360168261	45079	0.008908368695553186	26	0.0006464210623959523	0.07256334851953625	0.1309126766363654	0.004937803419843813	0.5542881742544659
vMAG_48	12631	10651	843.242815295701	440.49997813954525	bin_1	6457248	3216132	498.0654297310557	550079	0.026411598096961104	1050	0.012873721137930828	0.48742681494203366	0.8844219089395654	0.014556085741212138	0.5511247629838404
vMAG_48	12631	10651	843.242815295701	0.4195237887043288	bin_21	2890967	899288	311.06823426209985	112845	0.027056896414916237	1	2.7385402636972848e-05	0.0010121413120344248	0.0013486551903941644	0.020305711075763597	0.7504819017072938
vMAG_48	12631	10651	843.242815295701	0.4195237887043288	bin_61	1733749	300211	173.15712943453752	30128	0.020106278193776368	1	4.5664219737229255e-05	0.002271142341567919	0.002422792466439742	0.01884776363215796	0.9374068860736263
vMAG_48	12631	10651	843.242815295701	2.9366665209303022	bin_10	3506911	1237860	352.9773068093259	205555	0.03349400972292997	7	0.00015802855194683025	0.004718113873318787	0.008319703460473888	0.018994493337125384	0.5671012068800401
vMAG_48	12631	10651	843.242815295701	22.654284590033757	bin_210	128550	198605	1544.9630493971217	9163	1.1767787208207354	54	0.0332570668726634	0.028261104899541787	0.014663318063738776	2.268045112852424	1.9273335527945248
vMAG_48	12631	10651	843.242815295701	0.8390475774086577	bin_47	2051412	140416	68.44846378981892	22212	0.010581919484805085	2	7.718614818008424e-05	0.007294153796097039	0.01225809216091506	0.006296750519317545	0.5950480466572486
vMAG_48	12631	10651	843.242815295701	1.2585713661129867	bin_22	2855010	551889	193.3054525203064	4450	0.001093535291850599	3	8.319091208633401e-05	0.07607519638945472	0.006510790822006306	0.012777389776546171	11.684478655391986
vMAG_48	12631	10651	843.242815295701	8.390475774086577	bin_134	399024	37888	94.95168210433458	2053	0.026119357910093687	20	0.003968197166345958	0.15192552512221097	0.08836574127109169	0.04490651138400092	1.7192808314268335
vMAG_48	12631	10651	843.242815295701	0.4195237887043288	bin_168	208740	30494	146.08604004982274	956	0.04496179629372926	1	0.0003792770686270072	0.008435540834472939	0.0028717582361822524	0.1320713783801043	2.937413298999445
vMAG_48	12631	10651	843.242815295701	33.14237930764198	bin_4	4384505	579215	132.10499246779284	43799	0.004562433742891386	79	0.00142649018055879	0.3126599225208188	0.25087908252765	0.005685966985316813	1.2462574375301287
vMAG_48	12631	10651	843.242815295701	5.453809253156275	bin_7	3776319	344736	91.2888979982888	61131	0.008588260773297766	13	0.00027254419951482366	0.031734504425180686	0.0597423057211021	0.004561996665933099	0.5311898166992151
