item_name	bin_10	bin_102	bin_103	bin_105	bin_106	bin_108	bin_12	bin_124	bin_129	bin_13	bin_135	bin_140	bin_15	bin_155	bin_159	bin_160	bin_165	bin_17	bin_186	bin_189	bin_199	bin_2	bin_20	bin_201	bin_216	bin_22	bin_23	bin_24	bin_240	bin_241	bin_25	bin_28	bin_29	bin_31	bin_33	bin_334	bin_34	bin_35	bin_37	bin_38	bin_39	bin_40	bin_41	bin_42	bin_43	bin_45	bin_47	bin_51	bin_53	bin_56	bin_57	bin_59	bin_60	bin_61	bin_63	bin_64	bin_86	bin_89	bin_9	bin_95	bin_99
k141_13763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60506888124487	0	0	0	0	0	0	0	0
k141_800644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.711811488277813	0	0	0	0	0	0	0	0
k141_706972	0	0	0	0	0	0	0	0	0.14589577200060402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_680493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1767338136913692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_452623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25856326900087934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_979214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1756548594149605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_742653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8867091135657653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1059933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16924417840211758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3670434868508988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_528659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9730385987345836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_993125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6674300405471845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
