mobile_contig_name	mobile_contig_length (bp)	mobile_contig_read_count (reads)	mobile_contig_read_depth (reads/kbp)	mobile_contig_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
k141_284877	12769	12024	941.6555720886522	221.26539975309234	bin_58	2630086	785022	298.4776923644322	103007	0.029839992577669904	1169	0.034978509399662606	1.1722023492002474	0.7413130207497518	0.04718453395609579	1.5812515312555837
k141_285274	6521	1325	203.18969483208096	40.915331041272275	bin_8	4350483	1076343	247.40770162761237	57141	0.006052791498128601	118	0.004159396587352776	0.6871864971127415	0.16537614137354667	0.025151128529221488	4.1552940551475634
k141_285623	6755	2093	309.8445595854922	118.18114895665222	bin_15	3813791	1255376	329.1674871538582	107657	0.014839325805352271	349	0.013571038732647464	0.914532028655415	0.3590304436762688	0.03779913088619366	2.547226968529811
k141_285810	5440	13749	2527.389705882353	1741.104305143493	bin_7	4376542	11437141	2613.2825870287547	1163402	0.1222560397846996	2841	0.119476197777774	0.9772621294471745	0.6662518297047587	0.17932588317351175	1.4668059221394352
k141_286109	5485	132	24.06563354603464	8.49375301624752	bin_84	1966474	49529	25.18670473141267	2266	0.0011766250000377135	12	0.0011156538194866626	0.9481812977379398	0.3372316111545221	0.0033082717710453944	2.8116619746642786
k141_286110	5207	155	29.76762051085078	6.333536278904421	bin_84	1966474	49529	25.18670473141267	2266	0.0011766250000377135	10	0.0009766168512074609	0.8300153839805869	0.2514634743387165	0.003883732433808564	3.3007393465922292
k141_286855	6237	6803	1090.748757415424	1065.7657205740377	bin_41	2961698	6231470	2104.0193834752904	1872692	0.4313368478194047	4010	0.21754213965400873	0.5043439732862584	0.5065379762869252	0.42946856867210165	0.9956686307772035
k141_286964	8137	410	50.3871205604031	29.13005407398304	bin_97	1391783	92012	66.11088079104286	6170	0.006398293250675248	37	0.0032671259758427695	0.5106246068821512	0.44062420172640887	0.0074147674209493015	1.1588664555452783
k141_287095	11276	858	76.09081234480313	25.9723306136928	bin_82	2073292	216403	104.37651811708143	15447	0.007222206876194466	128	0.005505070329420436	0.762242126788976	0.2488330812545315	0.022123546843794844	3.0632668411531587
k141_287361	6368	199	31.25	6.8359375	bin_49	2769567	165736	59.84184531372593	10598	0.0027791133280608803	14	0.0007938036748385425	0.2856319916224565	0.114233400794411	0.006948962994344998	2.500424478620892
k141_287729	6027	1964	325.86693213870916	239.150552822561	bin_13	4085890	3834265	938.4161100763848	697337	0.08365541770008586	615	0.025010843826503638	0.2989745854377339	0.2548448926383997	0.09814143641478273	1.173162947636349
k141_288201	5128	6573	1281.786271450858	266.48363231826573	bin_64	2536939	2270401	894.9371664040799	346199	0.10803941022976075	600	0.04621382883130198	0.42774973255612814	0.2977679800572096	0.15520080037626274	1.4365202479929016
k141_288669	10736	562	52.34724292101341	21.631092116121245	bin_43	2908250	286192	98.40694575775811	21401	0.005087458294594789	100	0.0032027700630164226	0.6295422738736219	0.21981265600264718	0.014570453409096936	2.863994664010795
