mobile_cluster_name	mobile_cluster_length (bp)	mobile_cluster_read_count (reads)	mobile_cluster_read_depth (reads/kbp)	mobile_cluster_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
vMAG_89	15530	1485	95.62137797810689	88.39665164198325	bin_19	3027906	1508819	498.3044387771615	236300	0.05164613685449722	208	0.004423331525802703	0.08564690014017051	0.17739487101280602	0.02493494597982704	0.4828037003053359
vMAG_15	94992	3824	40.25602155971029	37.683023417948874	bin_184	172960	7056	40.795559666975024	1042	0.07216437115506044	1157	0.07042075075371262	0.9758382097226167	0.9237040434195631	0.07623735248902255	1.0564403357054195
vMAG_47	12773	914	71.55719094965944	39.516657688617904	bin_4	4384505	579215	132.10499246779284	43799	0.004562433742891386	74	0.0013213511222022103	0.2896154106919305	0.29913069105432977	0.004417303746215125	0.9681902237150547
vMAG_29	52916	8926	168.68244009373348	50.88459731334343	bin_2	5260682	1681941	319.71919230244293	230585	0.01668871822993608	600	0.002155371780170468	0.12915142735792498	0.15915402809227797	0.013542678159052166	0.8114870161064514
vMAG_29	52916	8926	168.68244009373348	72.68016649589221	bin_1	6457248	3216132	498.0654297310557	550079	0.026411598096961104	857	0.002508108659925994	0.09496239684998746	0.14592493708133467	0.017187663123870604	0.6507619516536639
vMAG_94	12853	1862	144.8689022018206	142.0829617748625	bin_11	3471114	3311405	953.989122800346	614653	0.1021822006798358	612	0.01371759692177889	0.13424644243824613	0.1489356203116774	0.0921042051127332	0.9013722986973078
vMAG_54	20279	485	23.916366684747768	22.40267259077639	bin_205	134863	3221	23.883496585423725	442	0.05062284364860746	148	0.05411558578755745	1.0689953761427242	0.937998023474038	0.05769264372981407	1.1396563205789227
vMAG_36	35879	2210	61.59591961871847	58.93306985135635	bin_6	3846970	326499	84.87173021884756	55570	0.007532066638370382	841	0.00609307980132995	0.8089519243351029	0.6943780891398514	0.008774873367444017	1.1650020889011312
vMAG_4	39058	4744	121.46039223718573	117.02021280398672	bin_29	2503482	343036	137.0235535945535	55696	0.017827226640798277	1634	0.01671081294663867	0.9373759184951038	0.8540153114861131	0.01956734583313194	1.097610201934121
vMAG_48	12631	10651	843.242815295701	440.49997813954525	bin_1	6457248	3216132	498.0654297310557	550079	0.026411598096961104	1050	0.012873721137930828	0.48742681494203366	0.8844219089395654	0.014556085741212138	0.5511247629838404
